mass,xsec1tev,rec_bias
0.107,8.676113673695452e-27,0.0024964178707886043
0.108,6.041018517411218e-27,0.003585356535753246
0.109,4.677796820539675e-27,0.004630215046729602
0.11,3.832020931975571e-27,0.005652162555604948
0.111,3.2513259767208855e-27,0.006661652931475982
0.112,2.825826836673285e-27,0.007664731944263463
0.113,2.4995441066813418e-27,0.008665262263670849
0.114,2.2407885745801977e-27,0.009665885246699125
0.115,2.0302013075804657e-27,0.010668501267896187
0.116,1.855252501251032e-27,0.011674532285713928
0.117,1.707455771690842e-27,0.012685075410508723
0.118,1.5808485564147778e-27,0.013700999463938419
0.119,1.4711129005337943e-27,0.014723006790401769
0.12,1.3750413339765346e-27,0.015751675741535427
0.121,1.2901991827511391e-27,0.016787489492763416
0.122,1.2147034669845118e-27,0.017830858158144093
0.123,1.147074135602444e-27,0.018882131984112142
0.124,1.0861309618420536e-27,0.019941614763723494
0.125,1.030920824957944e-27,0.02100957192798028
0.126,9.806652655726414e-28,0.022086236745990185
0.127,9.34721953004072e-28,0.02317181612606497
0.128,8.925559987197236e-28,0.024266494488944693
0.129,8.537182306935428e-28,0.025370437745497375
0.13,8.178279665283498e-28,0.02648381580291175
0.131,7.845634034147048e-28,0.027606698362092816
0.132,7.536448182411646e-28,0.0287392743899631
0.133,7.248333736150244e-28,0.02988163350700018
0.134,6.979213202973032e-28,0.031033878166639505
0.135,6.727275466062833e-28,0.03219610276592827
0.136,6.490934291522156e-28,0.0333683939033182
0.137,6.26879420147647e-28,0.03455083151223145
0.138,6.059622375124368e-28,0.035743490077733045
0.139,5.862325556707875e-28,0.036946438771595494
0.14,5.675930513839028e-28,0.03815974344858049
0.141,5.4995691408234035e-28,0.03938345835718296
0.142,5.332462037205732e-28,0.040617645419481235
0.143,5.173909812908847e-28,0.041862355563228454
0.144,5.023281980981384e-28,0.04311763764409498
0.145,4.8800090784816075e-28,0.04438353469364007
0.146,4.743573427920788e-28,0.045660103196716824
0.147,4.613507435676975e-28,0.046947372527272144
0.148,4.489383765324095e-28,0.048245385906417575
0.149,4.370812863245445e-28,0.04955418111386301
0.15,4.257438529396117e-28,0.050873794358879156
